iteration,clock,slack_before,transform,module,backend,accepted,wns_before,wns_after,tns_before,tns_after,hold_before,hold_after,area_before,area_after,reason,seconds
1,clk_sec,-7.72601,pipeline_insert,aes_round,heuristic,True,-7.726010272449848,-2.0303341804705326,-1316.7398637467652,-382.0362729856418,0.005463480517084168,0.005463480517084168,82716.158,83640.774,"WNS +5.6957 ns, TNS +934.7036 ns, hold +0.0055 ns, area +1.12%",340.0
2,clk_core,-2.030334,balanced_mux_tree,rv_alu,heuristic,True,-2.0303341804705326,-1.5884045639493476,-382.0362729856418,-330.38706217104783,0.005463480517084168,0.005463480517084168,83640.774,83000.778,"WNS +0.4419 ns, TNS +51.6492 ns, hold +0.0055 ns, area -0.77%",18.7
3,clk_dsp,-1.588405,pipeline_insert,dsp_mac,heuristic,True,-1.5884045639493476,-1.0930368031171511,-330.38706217104783,-206.34829540237757,0.005463480517084168,0.005463480517084168,83000.778,84905.338,"WNS +0.4954 ns, TNS +124.0388 ns, hold +0.0055 ns, area +2.29%",31.1
4,clk_io,-1.093037,logic_restructure,crc32_par,heuristic,True,-1.0930368031171511,-0.9921441726778769,-206.34829540237757,-145.69464624907255,0.005463480517084168,0.005463480517084168,84905.338,84525.49,"WNS +0.1009 ns, TNS +60.6536 ns, hold +0.0055 ns, area -0.45%",46.8
5,clk_dsp,-0.992144,register_retime,dsp_mac,heuristic,True,-0.9921441726778769,-0.8755920680779896,-145.69464624907255,-104.6629266212504,0.005463480517084168,0.005463480517084168,84525.49,83496.602,"WNS +0.1166 ns, TNS +41.0317 ns, hold +0.0055 ns, area -1.22%",18.1
6,clk_dsp,-0.875592,register_retime,dsp_mac,heuristic,False,-0.8755920680779896,-0.9921441726778769,-104.6629266212504,-145.69464624907255,0.005463480517084168,0.005463480517084168,83496.602,84525.49,"no timing improvement (WNS -0.1166 ns, target-domain WNS -0.1166 ns, threshold 0.0050 ns)",18.7
7,clk_sec,-0.345017,register_retime,aes_round,heuristic,False,-0.8755920680779896,,-104.6629266212504,,0.005463480517084168,,83496.602,,patch generation failed: no combinational chain left to cut,0.5
8,clk_dsp,-0.298787,balanced_mux_tree,dsp_mux_chain,heuristic,False,-0.8755920680779896,-9.861953310901647,-104.6629266212504,-698.7813405699152,0.005463480517084168,0.005463480517084168,83496.602,83437.018,"no timing improvement (WNS -8.9864 ns, target-domain WNS -8.9864 ns, threshold 0.0050 ns)",18.0
9,,,,,,False,,,,,,,,,"every violating path is protected, exhausted, or matches no catalogued transformation",0.7
10,,,,,,False,,,,,,,,,"every violating path is protected, exhausted, or matches no catalogued transformation",0.7
